,Субъект РФ,"Численность студентов, очная форма, человек",Год формирования сведений
0,Российская Федерация,2474778,2021
1,Центральный федеральный округ,806080,2021
2,   Белгородская область,24531,2021
3,   Брянская область,10806,2021
4,   Владимирская область,11228,2021
5,   Воронежская область,50374,2021
6,   Ивановская область,14971,2021
7,   Калужская область,10883,2021
8,   Костромская область,5366,2021
9,   Курская область,19188,2021
10,   Липецкая область,10258,2021
11,   Московская область,39771,2021
12,   Орловская область,14573,2021
13,   Рязанская область,16814,2021
14,   Смоленская область,13478,2021
15,   Тамбовская область,14424,2021
16,   Тверская область,13832,2021
17,   Тульская область,15920,2021
18,   Ярославская область,19324,2021
19,   г.Москва,500339,2021
20,Северо-Западный федеральный округ,303912,2021
21,   Республика Карелия,7781,2021
22,   Республика Коми,6717,2021
23,   Архангельская область,11949,2021
24,   Вологодская область,9662,2021
25,   Калининградская область,13149,2021
26,   Ленинградская область,3074,2021
27,   Мурманская область,3660,2021
28,   Новгородская область,5287,2021
29,   Псковская область,5969,2021
30,   г.Санкт-Петербург,236664,2021
31,   Ненецкий автономный округ,0,2021
32,Южный федеральный округ,224647,2021
33,   Республика Адыгея,8093,2021
34,   Республика Калмыкия,4125,2021
35,   Краснодарский край,56557,2021
36,   Астраханская область,16977,2021
37,   Волгоградская область,32686,2021
38,   Ростовская область,73120,2021
39,   Республика Крым,23214,2021
40,   г.Севастополь,9875,2021
41,Северо-Кавказский федеральный округ,109529,2021
42,   Республика Дагестан,25286,2021
43,   Республика Ингушетия,4121,2021
44,   Кабардино-Балкарская Республика,10908,2021
45,   Карачаево-Черкесская Республика,5596,2021
46,   Республика Северная Осетия - Алания,13177,2021
47,   Чеченская Республика,15048,2021
48,   Ставропольский край,35393,2021
49,Приволжский федеральный округ,468620,2021
50,   Республика Башкортостан,51633,2021
51,   Республика Марий Эл,11070,2021
52,   Республика Мордовия,15171,2021
53,   Республика Татарстан,90945,2021
54,   Удмуртская Республика,21024,2021
55,   Чувашская Республика,17406,2021
56,   Пермский край,33972,2021
57,   Кировская область,15588,2021
58,   Нижегородская область,51801,2021
59,   Оренбургская область,23077,2021
60,   Пензенская область,18772,2021
61,   Самарская область,57319,2021
62,   Саратовская область,40602,2021
63,   Ульяновская область,20240,2021
64,Уральский федеральный округ,166528,2021
65,   Курганская область,5887,2021
66,   Свердловская область,72897,2021
67,   Тюменская область,31494,2021
68,   Челябинская область,43096,2021
69,   Ханты-Мансийский автономный округ,13146,2021
70,   Ямало-Ненецкий автономный округ,8,2021
71,Сибирский федеральный округ,288908,2021
72,   Республика Алтай,1550,2021
73,   Республика Тыва,2639,2021
74,   Республика Хакасия,4158,2021
75,   Алтайский край,33055,2021
76,   Красноярский край,43638,2021
77,   Иркутская область,39238,2021
78,   Кемеровская область,25000,2021
79,   Новосибирская область,63566,2021
80,   Омская область,35127,2021
81,   Томская область,40937,2021
82,Дальневосточный федеральный округ,106554,2021
83,   Республика Бурятия,10312,2021
84,   Республика Саха (Якутия),14868,2021
85,   Забайкальский край,9228,2021
86,   Камчатский край,2069,2021
87,   Приморский край,32575,2021
88,   Хабаровский край,23842,2021
89,   Амурская область,9746,2021
90,   Магаданская область,1149,2021
91,   Сахалинская область,1862,2021
92,   Еврейская автономная область,861,2021
93,   Чукотский автономный округ,42,2021
